,ECFP6_2048,mol2vec,pIC50
2164,5.139368605371023,5.16831492474178,5.221848749616356
4349,5.641233248358823,6.749294521436231,6.767003889607846
5194,5.389579068266851,5.260623389665528,5.300000202445418
1188,7.4649219503709086,7.906895556283178,8.179995693191682
2664,4.791405952873963,4.947435939187729,4.927750102386486
5663,5.4094179695452445,4.810680723245358,5.285670240254767
2457,5.044659434810312,5.709771870571644,4.899629454882437
5846,5.805016559843124,5.884120182305071,6.318758762624412
5017,4.661291445076497,5.378401295330124,4.809668301829708
2741,6.663531827976734,6.888910649515255,7.886056647693163
2522,5.75569498093788,5.7089187017481295,6.3979400086720375
3409,2.5427432996505037,2.863951585632751,2.530177984021837
5476,4.663187209164641,4.817849123872043,4.658763376761308
1623,5.198851952009487,3.8029471170366316,3.196542884351586
5642,5.068849938624713,4.898696659542223,4.881735273910521
3339,6.3876025562174075,6.734615711545961,6.522878745280337
2346,4.969924567558208,5.1247180392827705,4.638839004804974
2008,5.260738169916295,4.6791668422555714,4.385841290490825
319,8.062663917771157,7.349301183427819,7.698970004336019
747,6.963063020787204,6.257931335744548,6.515700160653214
1426,8.738715950441442,8.857379489403808,9.173925197299171
1084,5.756826397736908,5.508098976561122,5.522878745280337
2997,4.99137558578119,6.652338813568681,5.414539270491499
4377,4.9044064679162,5.992666845784849,4.522878745280337
4576,5.37659544374386,5.255594012501738,5.432973633840939
4990,6.065762157876266,6.111602801932636,6.522878745280337
4988,6.203691718616342,6.064115681507603,6.060480747381382
1074,7.130101198253018,6.969741676946708,7.443697499232712
5509,4.153541983014408,4.231482769466243,4.0
3614,5.6757512645202475,5.173110942342386,5.200659450546418
1351,4.9788989513107484,5.167814914689381,5.045275209020937
4013,7.289830831648703,6.998584780272345,7.522878745280337
3066,6.31996876196669,6.078341310340402,6.08600081756968
5711,5.204805114819653,4.863312406161709,4.454692883534176
1706,6.731312650497992,6.771442131293245,6.405607449624573
80,6.3528340498783775,5.8372366936475375,5.823908740944319
1694,6.929161558557217,7.231505700744109,7.443697499232712
3505,5.422649657893094,6.70681848159432,5.172630726946175
4396,5.627851895462123,6.2934199322834425,5.0
1406,4.635276484950583,4.438433456589215,4.161150909262744
1042,4.166750923325346,4.467179816131518,4.0
4977,5.832656674945675,5.56081797225808,5.950781977329818
6054,6.173605685154144,5.839570509962153,6.52432881167557
2344,4.876862210472624,5.212479278614706,4.645315446045271
79,5.717769624992137,6.28244272996316,4.958607314841775
3126,4.716437090925293,4.388370189389149,3.81864240797155
1335,4.308661396511979,4.8100735846599605,4.301029995663981
2499,4.169401167780588,5.356616207439325,4.107905397309519
4712,7.07707932050684,6.024056169987886,6.584025588623434
3697,5.486625554722153,6.554558070637099,5.231361898752385
2944,4.40164106091432,4.3585975476459,4.292429823902063
23,5.0204890658807075,5.943756362210545,4.301029995663981
1420,6.731407744142687,6.131305084566493,8.079876673709276
5435,5.854805692511245,5.992314627541335,5.958607314841775
3611,5.322633351934607,5.3222496893328275,5.207608310501746
5190,5.485325651090897,5.18557990038119,5.809999051930338
2473,7.2441075998057105,7.531056136868133,7.826813731587726
6121,4.779430470309496,5.141249083184593,4.259637310505756
1488,8.350065920578997,8.226516228865025,8.782516055786093
3085,6.730102943568572,6.809268192387353,7.812479279163536
3491,7.070844456077213,6.040194217957205,6.356547323513812
