,ECFP6_2048,rdk,pIC50
1302,3.9850513701378194,4.232090090049604,4.301029995663981
167,6.063897390140514,5.821005484694209,6.79317412396815
4837,4.291044966598953,4.392738766845723,4.543633966870957
233,4.835825601568803,5.260210470122436,5.0
5569,4.227638101490802,4.421672637187129,4.301029995663981
3827,5.976767895311657,5.322169724283341,5.798602875679548
2418,8.755034232943226,8.52175801215215,8.860120913598763
960,6.654658394239984,6.70918909042049,7.552841968657781
4909,6.191106684137834,6.508435103995781,6.991399828238082
3691,5.269766159850867,5.035656074629512,4.513286224017515
3555,7.989689271708774,7.124390747431872,7.815308569182402
2929,4.482225550988567,4.513923700813181,4.145693958198919
1371,6.395398302906703,5.528132002534208,6.485452247339714
2683,5.240818567917259,4.997761217129009,5.47755576649368
710,7.01236012700959,6.949954258441208,8.304518323509802
2164,5.139368604070832,4.77552664492665,5.221848749616356
4349,5.641233248229232,6.6975594523698,6.767003889607846
5194,5.389579063420681,5.016588796015348,5.300000202445418
1188,7.46492195071834,7.807148203714217,8.179995693191682
2664,4.791405954717866,4.977669548614175,4.927750102386486
5663,5.409417970933853,5.69752042118567,5.285670240254767
2457,5.044659435942205,5.332324047509479,4.899629454882437
5846,5.805016559906313,6.126476460409343,6.318758762624412
5017,4.661291445710927,5.181981139869297,4.809668301829708
2741,6.663531829536454,7.077158756632563,7.886056647693163
2522,5.755694982262252,5.988241497047473,6.3979400086720375
3409,2.5427432993724426,2.4897922723352455,2.530177984021837
5476,4.663187209536956,4.945073279136777,4.658763376761308
1623,5.198851952346053,4.297146702430936,3.196542884351586
5642,5.068849939710913,4.7892388602164555,4.881735273910521
3339,6.387602554269137,6.150100757092896,6.522878745280337
2346,4.969924563812689,4.69565350939553,4.638839004804974
2008,5.260738169924726,5.533871259117652,4.385841290490825
319,8.062663919239643,8.117863148009715,7.698970004336019
747,6.963063019894777,7.087742425586277,6.515700160653214
1426,8.738715951975708,8.95376545170767,9.173925197299171
1084,5.756826396569595,5.5029386812790975,5.522878745280337
2997,4.991375587010829,5.099228997754655,5.414539270491499
4377,4.904406467526861,4.867137269188516,4.522878745280337
4576,5.376595443829689,5.364877193275545,5.432973633840939
4990,6.065762158616336,6.0761005068292695,6.522878745280337
4988,6.203691718029726,6.0112917113109505,6.060480747381382
1074,7.130101198551898,6.94721460925371,7.443697499232712
5509,4.15354198756463,4.12951928605315,4.0
3614,5.675751265477305,5.278157057293124,5.200659450546418
1351,4.978898947551781,5.688032152664659,5.045275209020937
4013,7.289830830882883,7.615391604920344,7.522878745280337
3066,6.319968762990769,6.068259934751488,6.08600081756968
5711,5.204805115693001,4.920418000808751,4.454692883534176
1706,6.731312649085491,6.636497895237802,6.405607449624573
80,6.352834046801495,5.713943782985685,5.823908740944319
1694,6.9291615589874604,6.782186992406217,7.443697499232712
3505,5.422649659226439,5.507518346926484,5.172630726946175
4396,5.627851894236313,5.126466006427925,5.0
1406,4.635276488254721,4.619672821989749,4.161150909262744
1042,4.166750921687671,4.060586076627443,4.0
4977,5.832656676011442,5.964825354265083,5.950781977329818
6054,6.173605680796655,6.0038142079808,6.52432881167557
2344,4.876862209737184,4.6350813376918385,4.645315446045271
79,5.717769622037058,5.9251135842421725,4.958607314841775
3126,4.716437093610946,4.7062223291998695,3.81864240797155
1335,4.3086613979293835,4.071277242573052,4.301029995663981
2499,4.169401169106469,4.362032355487682,4.107905397309519
4712,7.077079318304091,8.091388434250772,6.584025588623434
3697,5.486625555308417,5.262673989638541,5.231361898752385
2944,4.401641061658711,4.059098236877617,4.292429823902063
23,5.020489065540339,4.63756059221344,4.301029995663981
1420,6.731407742988546,6.73128339701779,8.079876673709276
5435,5.85480569261678,5.846857286408526,5.958607314841775
3611,5.3226333502273535,5.452441425066703,5.207608310501746
5190,5.485325652471905,5.670610905679686,5.809999051930338
2473,7.244107598142637,7.2595155159129465,7.826813731587726
6121,4.779430470429799,4.857270515868286,4.259637310505756
1488,8.350065923125035,8.295537916826296,8.782516055786093
3085,6.730102943734912,6.87020691315481,7.812479279163536
3491,7.070844456503523,6.3372466096732,6.356547323513812
1820,3.930792094749815,3.717542382661,3.5686362358410126
4256,3.8544632355486392,3.948467979977466,3.6989700043360174
1786,7.325506317868633,7.265796242227833,7.552841968657781
501,4.522144253584296,4.603053017674839,5.283162276700476
1730,6.266919840522037,6.2504607478132606,5.659159450187668
1039,8.313986855522332,8.336534463359735,9.10790539730952
263,6.517985018557107,6.1643664405684815,6.721246399047171
2223,6.60456513517008,6.634378266736663,6.844663962534939
691,5.793419730271815,6.187897595124633,6.301029995663981
2110,8.201478672184642,8.134594692972817,8.599980364934842
810,5.725843287802103,5.701668049288522,6.119186407719209
4099,2.890437783752878,3.014660098969697,2.975514332300833
4113,3.0630387357930684,3.197349566615088,3.379343520180379
4607,5.3261226848562035,5.334798152060405,5.0
2932,4.475801421624183,4.3810645411833695,4.0
37,6.3220867623265145,6.957175278941769,7.397940008672037
5907,4.216404363276428,4.634761691094037,6.073143291050307
4141,4.782857947665984,5.066787013402102,4.928117992693875
6012,5.746140104673012,5.722088203793642,5.346787486224656
4482,6.6169608965583535,6.527449009367674,6.533132379645891
2471,7.6069522567902155,7.38528049868964,7.153044674980176
3659,3.642310901240875,3.902610500259534,3.627824713884936
5246,5.216160573084951,4.825759252475761,5.167491087293763
1741,6.813881952633587,7.235036651583798,5.026872146400302
4540,7.80610839495915,7.792772408320455,8.750068243365805
3089,7.1706933855621084,7.399328246900143,6.400116927926312
1049,5.537594474888422,6.276569254243869,6.995678626217358
156,5.453782239752651,5.905906010103758,5.4156687756324695
3958,5.138915312058936,5.104068561212902,5.119186407719209
4302,4.783192652368439,4.572840443977372,4.0
465,4.6979798377465,4.4585188363984285,4.0
5903,4.901534013570786,4.549783732114746,2.84740592207253
1186,7.107062482828886,7.133371011169754,7.199970640755866
2312,4.799199729704816,4.938598320941142,4.864009153078375
2995,5.176797106024054,5.050793144990046,5.146910470148135
1615,5.502698891417133,5.476955494552756,4.508638306165727
1047,5.395910120610975,4.574133076715892,3.9788107009300617
4834,5.271299842955953,4.502271261449035,5.0
2404,4.325681890227139,4.511374334530057,4.0343280287798935
2905,6.200365913951851,6.380062810893319,6.060480747381382
3263,6.940835563067507,6.72788971264108,6.653647025549361
1005,6.4737200941349,7.340021480448658,5.008330992620052
2778,5.038851213997817,5.304499768551552,3.882728704344236
2531,5.40426907123253,5.657088000750663,6.455931955649724
4935,5.505161840432845,5.544821605298191,5.404503778174425
84,6.319489153866042,6.239204533219476,5.346787486224656
2646,4.6360139529401945,4.867635619557489,4.706637445288554
2554,6.560680495887315,6.747771282767448,7.040005161671584
3396,2.885997100836915,2.5325693400489504,3.2596373105057563
4184,5.287704829853046,5.482577616683486,5.301029995663981
2742,6.34694864140028,6.879601275668437,7.267606240177032
3590,5.461315398309858,5.535445834839738,5.97061622231479
5500,4.19941909253868,4.3708711501707365,4.0
3006,5.2498385305202895,4.776814812901451,5.252588192113577
2843,5.224530705619865,5.153673117123535,5.115204636051019
1018,7.917729931539301,7.897902257761588,9.229147988357855
4898,5.576992258060483,5.046622751688558,5.0
1839,4.6724668004185075,4.584946135462506,4.221848749616356
1743,6.30092624111549,6.923898431611704,6.080921907623926
1963,7.871942490365031,7.750248273935846,7.337242168318426
2611,5.634419591061578,5.554212220629603,6.149997413907539
254,5.808276080704729,5.76003204315404,5.0
2348,3.856326234692358,4.315226660388232,4.675511766692344
3886,6.0649323594346205,6.417460526308657,5.714892970433188
