,ECFP6_2048,pubchem,pIC50
2730,4.911647095822275,5.0818975163687545,6.2839966563652006
70,5.4494058291664444,6.076194831054145,5.185086818724926
368,4.458863398884407,4.323241263034745,4.301029995663981
1739,8.239091269663223,8.735721016029386,8.47005659834133
2384,5.541752233830914,5.990207510088372,5.455931955649724
1253,7.999621824861268,8.25548653868375,8.410050398674292
1231,8.224899674571603,8.22185013449097,9.289967300934247
1220,8.140554447450523,8.464890422369388,8.569924944448061
1477,8.48188961476734,8.302390575017727,8.759950227887352
1188,8.347941889712743,7.807697055879513,8.040005161671584
314,6.317402550747597,5.806958474464842,6.3979400086720375
2673,8.063365369651024,8.440514693609321,7.939302159646388
414,6.177111811181546,5.71454294088552,6.568636235841013
1557,8.070357497740757,8.296833546818437,8.15002808767115
1980,7.691984492569154,7.817895060606308,7.616184634019569
2883,4.967007751242824,5.2372759055592,5.0
478,6.782427600873577,7.289480150298183,7.552841968657781
299,6.270361096282668,5.8131554524166775,6.3979400086720375
2005,8.12735940559418,7.928784744830837,8.18045606445813
2990,6.636217443989007,6.584722500831831,6.437707135543525
450,5.022142338915692,4.924696457068272,4.346787486224656
601,7.184540171280764,6.699159588054708,7.107905397309519
1807,7.594191292686552,7.826079178768924,8.522878745280337
1801,8.91858681728402,8.666423619714386,8.0
2012,7.8297201765472,7.7745938117528794,7.79317412396815
1213,7.960870989410732,7.423727515464524,8.349984047528162
1830,7.535114077432338,7.638646468357762,7.5376020021010435
1620,8.154621638336604,7.987388080404001,8.230032198670557
76,6.682678035814133,6.695180840719903,6.638272163982407
1744,8.188254169180876,8.557269359456235,7.779891911959945
2616,6.534894145259042,5.642917407149101,5.978810700930062
2840,8.155924189384798,7.251552064347529,9.397940008672036
144,4.900882476971211,5.092522676621152,5.721246399047171
2086,7.527441353992355,8.016145078682037,7.790484985457369
45,7.0535209260595,6.189288166512123,5.585026652029182
3039,9.080904114334416,9.042382208253798,9.744727494896694
2486,6.944893273814886,7.2916997494141835,7.0
309,5.370304246211153,5.607908568308401,6.698970004336019
1270,8.788189139685391,8.498356801225592,8.860120913598763
2954,7.752218829396425,8.416820094331065,7.643591672961019
1457,8.416046533585732,8.401443371074558,7.950007143079858
152,4.921916117793426,5.092522676621152,5.376750709602099
2164,7.421202359528255,7.623555862601615,7.494850021680094
1298,8.305168007593334,8.42091113484043,9.059981844992336
2203,5.650156319446242,5.386813274109656,6.20690839982342
1459,8.451835888117458,7.804784432600116,8.739928612014925
0,6.257314068189003,5.861485582850702,5.8696662315049934
2872,7.003923175859685,6.163434834901554,5.301029995663981
840,7.134830419806614,6.9001958343364,7.599980364934842
1345,8.083827283984734,7.832328173682422,8.119987161633228
2861,5.850226982387108,5.709789023123087,5.301029995663981
218,5.224331598146355,5.111682048822933,4.886056647693163
969,5.602567786420207,5.234367032160217,5.273272790973428
1938,8.03353287596497,7.8594734721801345,8.187086643357144
251,7.213342705616011,6.872778663313001,7.318758762624412
270,6.596742588205234,6.838720286018833,6.113509274827518
1356,7.196630768629917,7.672181694734353,7.750068243365805
32,6.3376155690173865,6.257887254679503,6.346787486224656
449,4.654560158241712,4.896765731987658,5.7447274948966935
2554,7.854727009447871,8.220923450970469,9.397940008672036
14,4.570299268740963,5.10229861694954,4.698970004336019
93,6.500108167361351,6.454364486836314,7.096910013008056
976,5.15978099549066,5.419855262584675,5.721246399047171
