,ECFP6_2048,pairfps,pIC50
1029,5.640702164379479,5.42323298943117,5.0
1672,7.810449922967554,7.8954438366629445,7.53003079050004
2846,6.70196494042722,7.658083263155126,6.211124884224583
289,6.30099473797368,6.366845821726153,6.552841968657781
134,5.232885379849048,5.293138669510714,5.7447274948966935
596,6.774566715409211,6.539333500368779,5.013228265733755
2868,5.857029374786587,5.642560094414288,5.823619307756729
1742,7.619405192884935,7.508546841212912,7.090016305060156
439,4.9776835618288215,4.780736675355763,4.236572006437063
1543,8.239091268420331,8.397968284796153,8.330032630091496
1134,8.357216168902408,8.55539191145306,8.823908740944319
1359,6.459267969053055,6.73810430514896,6.409994580348671
170,4.483312918393131,4.550085748934529,4.301029995663981
1651,7.891504598709128,8.084288595906,7.430041181903406
178,4.47479024799048,5.01397001398689,4.301029995663981
291,6.372687547743159,6.491591873414132,5.920818753952375
507,6.001699285426285,5.081298533069793,4.301029995663981
3055,6.553144331931123,6.234188380091596,5.329754146925876
354,4.345740122567601,4.579257373918843,4.301029995663981
736,6.442271362767327,6.4310181303013465,5.860120913598763
486,7.28627489980227,6.540755160043107,7.060480747381382
1283,8.362815335760146,8.199091475194603,8.849857838151442
2494,4.79323421508757,4.84391592355815,4.920818753952375
194,7.545835317174142,6.703114164063153,7.130768280269024
2926,5.240555429204485,4.995493740787706,5.0
594,5.492852988650703,5.268152687901388,4.301029995663981
2624,8.581639675426459,8.048529587705666,8.769551078621726
2411,6.903243294027135,7.435475265099733,7.598599459218456
1606,7.246897920483083,7.293432977113661,6.919987152892072
44,6.903294661128383,6.548022538625246,6.7447274948966935
1378,8.34013895245943,8.314113845447265,8.929962133392245
1057,6.325962787082792,5.887073251680057,6.301029995663981
2664,4.064053351372362,4.496853061843586,4.666351243485299
2233,6.691508018543271,5.663130103317241,5.640164517660112
3107,6.960280409728449,7.1969460185672505,6.618343517414213
2843,6.675745576607131,6.0516269415639945,6.501689446210399
568,7.780588650247149,7.219139511796742,7.136677139879544
1655,9.172643227643146,9.156261349155212,8.659952682338607
874,7.19223450576893,7.146192129236278,5.709965388637482
240,6.72358816498115,7.013295882791467,7.5376020021010435
332,4.299749144827339,4.493917521896835,4.301029995663981
3001,7.07229003449485,6.7018992652252365,6.832682665251824
1116,8.703419264753071,8.667708720213502,8.443697499232712
1084,4.756537642528494,4.758470370485326,6.221848749616356
3151,4.9836938959958905,4.849558836543379,5.0
2091,8.209866569795548,8.246625992571378,8.795880017344075
321,4.126106552205597,4.749689527405515,4.455931955649724
1425,8.483395869401782,8.115143427643284,8.819874124835946
1323,6.386588694327552,6.84369010228584,7.299988937677887
1752,7.161366801497858,7.936157878730324,6.83000246293343
2243,6.249144045311073,6.042155847230312,5.569602408613033
2358,8.14656512976548,8.623549513127754,8.769551078621726
1675,7.979637234226895,7.582045897255813,7.419987887470576
2412,6.990403404425448,7.378719567370042,7.744727494896693
423,5.630576974899225,5.64582862079035,5.958607314841775
2020,7.851029087534176,7.8588086128003365,7.987162775294828
2615,6.4996837883779435,5.807943027487984,6.428291168191312
2157,7.011796470179162,7.353748368531941,7.67778070526608
759,4.826315766625264,5.241750348889302,5.443697499232712
1239,8.284531654237966,8.527977482854398,9.250031916490595
322,4.551354299098973,4.452366970261763,4.301029995663981
2924,4.991459809553392,5.098662319322764,5.0
3145,5.300856772895409,5.282361643852417,5.0
2184,7.722397944414343,7.852584089394946,8.537602002101044
254,5.613637645067106,5.295562261384491,4.7447274948966935
1783,8.009407247586326,8.058307891116348,6.919987152892072
729,6.703218406447223,6.450771606431016,7.853871964321762
746,6.097146365938208,6.37595793967193,6.300162274132754
298,5.5982602585854835,5.700133146179202,6.769551078621726
1446,8.348613002136133,8.320689144936557,8.219970872662662
1454,8.465990052310834,8.603137338274212,8.860120913598763
1444,8.366606749020962,8.15736332558428,8.179995693191682
2350,6.669227318300714,6.1740392121797605,6.0
51,6.3083335248405215,5.981394387361003,6.236572006437063
3094,6.257068540298818,6.400122061006511,5.603800652904264
63,6.9689612538522425,6.832690327165355,7.397940008672037
1747,8.125495536215372,7.725670082269889,7.100015437450609
2728,6.8917632845084045,8.024822306017413,8.67778070526608
2662,4.679924897132424,5.106067149802003,4.34428545038129
2772,5.785206024611557,5.8907674387876074,5.823908740944319
442,4.829836704287133,5.602161745874413,4.698970004336019
2031,8.18960679455807,8.138128596453097,8.193820026016112
52,6.09242088957719,6.130263477741381,6.958607314841775
2226,5.744822427864544,5.455259179428869,5.0
1497,8.274069745361047,8.527488013865586,8.330032630091496
2631,8.17612826670871,9.061631462391952,9.522878745280336
2897,6.2071710917552165,6.337870348969972,6.347753658996677
2818,8.746416606220528,8.663870329596723,8.920818753952375
479,6.648560914941609,7.050327197473469,7.42021640338319
3137,4.946634735736255,4.664264294044994,5.0
