,ECFP6_2048,pairfps,pIC50
1134,8.382493990291369,8.660281372838021,8.823908740944319
1359,6.449358017429508,6.5813046891740425,6.409994580348671
170,4.699763130382585,4.52139045364884,4.301029995663981
1651,7.833986172954432,7.668805854605478,7.430041181903406
178,4.370628712166353,4.72851020608034,4.301029995663981
291,6.235005319682525,6.393357083054203,5.920818753952375
507,5.812564253839119,5.185975812420955,4.301029995663981
3055,6.417085486361052,6.1035500636654145,5.329754146925876
354,4.354220396504122,4.481872411996809,4.301029995663981
736,6.8174904525456395,6.328661564667873,5.860120913598763
486,7.359771660512287,7.110316883586514,7.060480747381382
1283,8.540424635456331,8.194373937092935,8.849857838151442
2494,5.023160466554331,4.786173932382444,4.920818753952375
194,7.080764414023229,6.508778793394571,7.130768280269024
2926,5.271839398686971,4.723913422046727,5.0
594,5.752261459921459,5.23093913530442,4.301029995663981
2624,8.62735970784084,7.712194628656786,8.769551078621726
2411,6.993955141819695,7.38620786826412,7.598599459218456
1606,7.6121270312658975,7.17519212793231,6.919987152892072
44,6.890714318283401,6.49488524536854,6.7447274948966935
1378,8.129754042893493,8.38975111465864,8.929962133392245
1057,6.142998674895437,6.473097297040596,6.301029995663981
2664,4.389552374703425,4.650575703112088,4.666351243485299
2233,6.1041517325994015,5.473487933857141,5.640164517660112
3107,6.681698690461689,7.44280583398763,6.618343517414213
2843,6.769121596511468,6.142057227756104,6.501689446210399
568,7.809488667634603,7.1718729446770535,7.136677139879544
1655,9.31725554999538,8.924510777076163,8.659952682338607
874,6.853044379200912,7.042734920489714,5.709965388637482
240,6.8417885089490165,7.07469500400807,7.5376020021010435
332,4.488562699697085,4.349191092252403,4.301029995663981
3001,7.0669079049893115,6.50532500998608,6.832682665251824
1116,8.84088096133288,8.6424661501314,8.443697499232712
1084,4.878883119246679,4.9377899292707035,6.221848749616356
3151,4.993991086885499,4.944631406867806,5.0
2091,8.561549686435706,8.27497556752033,8.795880017344075
321,4.396036155958129,4.603791574204262,4.455931955649724
1425,8.452624430958897,8.085715408006847,8.819874124835946
1323,6.2222957894534225,6.454240686673915,7.299988937677887
1752,7.267059829276882,7.638396537499875,6.83000246293343
2243,6.247013940481015,6.370974480369246,5.569602408613033
2358,8.090026421103165,8.572614983498132,8.769551078621726
1675,8.0411282719971,7.2193011492666015,7.419987887470576
2412,7.269829450216948,7.520942250801964,7.744727494896693
423,5.376137716354906,5.781012888007788,5.958607314841775
2020,7.8981139854687905,7.844794404546395,7.987162775294828
2615,6.320066192239171,5.516130399118881,6.428291168191312
2157,7.080240176996686,6.528374797992682,7.67778070526608
759,5.126861217467239,4.860200083887345,5.443697499232712
1239,8.395890052262601,8.69357172676266,9.250031916490595
322,4.4098392113722715,4.547063759344824,4.301029995663981
2924,4.823588731330227,5.062422223997849,5.0
3145,4.7769375173850905,5.4235626359741795,5.0
2184,7.852676522687558,7.605794162805533,8.537602002101044
254,5.7174098856315325,5.278890341918311,4.7447274948966935
1783,8.071847390769774,8.255978119185404,6.919987152892072
729,7.0000130738237925,6.289007877861774,7.853871964321762
746,6.391791572229854,6.0685157815109,6.300162274132754
298,5.624361563431742,5.672813356477172,6.769551078621726
1446,8.413283985978659,8.381564126393748,8.219970872662662
1454,8.453271826689845,8.481914105119673,8.860120913598763
1444,8.055922812738402,8.119465101543405,8.179995693191682
2350,6.166514233823682,6.397787783052184,6.0
51,5.789339102523122,5.882532516142951,6.236572006437063
3094,6.154671351025039,6.30731891168853,5.603800652904264
63,6.936620038090357,6.604204618727422,7.397940008672037
1747,8.158056480686668,8.034936700062056,7.100015437450609
2728,6.116158042091863,7.132717772545341,8.67778070526608
2662,4.741395271453231,4.664609228760321,4.34428545038129
2772,5.655658314308814,5.867580102971797,5.823908740944319
442,4.744135089085149,5.592090873861824,4.698970004336019
2031,8.1156974160115,8.216622286041602,8.193820026016112
52,6.280681143232539,6.363701919201018,6.958607314841775
2226,5.377794248682241,5.2959712566096036,5.0
1497,8.245500822419618,8.348557951743564,8.330032630091496
2631,8.125374910079103,8.824805867498862,9.522878745280336
2897,6.713044660988711,6.034415340287192,6.347753658996677
2818,8.81802287703776,8.735994669923578,8.920818753952375
479,6.591854234079733,7.249181816522847,7.42021640338319
3137,4.84693480849332,5.0233855982487645,5.0
2730,5.0059287297097805,4.8640852283045275,6.2839966563652006
70,5.520037294482665,5.8358036231752255,5.185086818724926
368,4.322399359077524,4.436885785160355,4.301029995663981
1739,8.18588520927657,8.439739249517665,8.47005659834133
2384,5.45287940708611,5.257607501549992,5.455931955649724
1253,8.046835253100157,8.00301113082954,8.410050398674292
1231,8.433501877796555,8.802144424407777,9.289967300934247
1220,7.874766835083503,7.632307031953122,8.569924944448061
1477,8.39876895766234,8.500666863573757,8.759950227887352
1188,7.961861714140511,7.01144257355163,8.040005161671584
314,6.513257008175167,6.110837510354876,6.3979400086720375
2673,8.049902244658988,8.229048987623596,7.939302159646388
414,5.993312919023854,5.7769964255124195,6.568636235841013
1557,8.202037798054366,8.42398855876613,8.15002808767115
1980,7.7588298083082545,7.693021770260469,7.616184634019569
2883,5.094886623512376,6.011236145145805,5.0
478,6.983807550728806,7.705901606807405,7.552841968657781
299,6.097509650534169,6.115045052288545,6.3979400086720375
2005,8.110681314901202,8.238757830583602,8.18045606445813
2990,6.235790232979045,5.72357936450139,6.437707135543525
450,4.800670516916402,5.095829160990449,4.346787486224656
601,7.164107968024656,6.731158376269052,7.107905397309519
1807,7.69883507224152,7.974741952610973,8.522878745280337
1801,9.013737984891083,8.93145043851983,8.0
2012,7.815622018008607,7.747852860316209,7.79317412396815
1213,7.298246617922652,7.710700329355258,8.349984047528162
1830,7.447331563048001,7.597207635556148,7.5376020021010435
1620,8.063303171832667,7.944761539839069,8.230032198670557
76,6.418956143769833,6.392895310032131,6.638272163982407
1744,7.770904092663356,7.893491154939782,7.779891911959945
2616,6.514492325569798,6.112744718366906,5.978810700930062
2840,7.383568209053684,7.999326810890242,9.397940008672036
144,5.401189280339919,5.726835864457161,5.721246399047171
2086,7.331610716061208,7.991447272113399,7.790484985457369
