,ECFP6_2048,rdk,pIC50
710,6.837570749093309,7.211860983813105,8.304518323509802
2164,5.36946264655726,4.877071621616314,5.221848749616356
4349,5.893671627247685,6.498769655347979,6.767003889607846
5194,5.058966460759378,4.887114153319729,5.300000202445418
1188,7.4032431178445455,7.91584822114628,8.179995693191682
2664,4.701803541191641,4.948089089209174,4.927750102386486
5663,5.106736962347273,5.483408180376073,5.285670240254767
2457,4.871809481219509,5.305697403343328,4.899629454882437
5846,5.718268312417391,5.826635541049372,6.318758762624412
5017,5.521666194840043,5.319373691301012,4.809668301829708
2741,6.651674156903365,6.909175095586963,7.886056647693163
2522,5.839648319638959,5.998027880505918,6.3979400086720375
3409,2.601485605116162,2.5404042014426347,2.530177984021837
5476,4.767334930425194,4.935988264898805,4.658763376761308
1623,5.378299789229794,4.203297174201131,3.196542884351586
5642,5.1707564883439625,4.6786660128111945,4.881735273910521
3339,6.113068870955534,6.230021490803777,6.522878745280337
2346,4.583536650884208,4.587931151286469,4.638839004804974
2008,5.406117339802585,5.575114951395128,4.385841290490825
319,8.045487414610113,8.113481170737385,7.698970004336019
747,7.183696354171737,7.2108782798640085,6.515700160653214
1426,8.796037811361261,8.512197345604717,9.173925197299171
1084,5.943090648113725,5.477276021405954,5.522878745280337
2997,5.114614301204111,5.1902746787298835,5.414539270491499
4377,4.658704482789839,5.08572167031976,4.522878745280337
4576,5.258129474863511,5.353506490479206,5.432973633840939
4990,6.0929720807214185,6.0573314402134795,6.522878745280337
4988,5.980925801548767,6.0500283558399195,6.060480747381382
1074,7.0117611959886945,7.189929451926635,7.443697499232712
5509,4.239124409130039,4.1819047065869785,4.0
3614,6.198366030936676,5.840626836587244,5.200659450546418
1351,4.855503546896647,5.650931084850205,5.045275209020937
4013,7.170342830034505,7.40794546724279,7.522878745280337
3066,6.075496338130097,6.116224592567759,6.08600081756968
5711,5.1165862838357965,4.835396456355661,4.454692883534176
1706,6.407879561254484,6.704885888262114,6.405607449624573
80,6.180693231734988,5.904997766370617,5.823908740944319
1694,7.039182403973417,7.013561765408792,7.443697499232712
3505,5.440195978188778,5.7468336324095315,5.172630726946175
4396,5.646659055511086,5.401406324462434,5.0
1406,5.079149822579072,4.9657932291767874,4.161150909262744
1042,4.899456923164468,4.865906128724919,4.0
4977,5.9070768334506525,5.9005971553504395,5.950781977329818
6054,6.164969192391719,6.023218091611539,6.52432881167557
2344,4.526534372671423,4.682755340506357,4.645315446045271
79,5.712169229039394,5.775057163991954,4.958607314841775
3126,5.1035531612714164,4.810536255736145,3.81864240797155
1335,4.293654838756277,4.075989376186339,4.301029995663981
2499,4.01058450652909,4.3176039411320435,4.107905397309519
