,ECFP6_2048,mol2vec,pIC50
1963,7.764719713903314,8.350211583425343,7.337242168318426
2611,5.559276935767495,5.265123833412506,6.149997413907539
254,5.878048383907532,5.685694912957497,5.0
2348,4.600849953182593,4.896676066610537,4.675511766692344
3886,6.050492340876288,5.501542968709336,5.714892970433188
5819,4.572972064624968,4.568968508632631,4.0
3904,5.129359721134927,4.858068362561361,5.573488738635425
2516,6.02752660277188,5.881640184988263,5.241088107602026
4517,5.180655277628624,5.689376203448773,4.698970004336019
1595,6.755614701604958,6.502844025713642,6.698970004336019
2263,7.543946080641404,7.6799867186877195,9.092051478387727
4982,5.9510056788559345,5.940862830670788,6.443697499232712
6048,6.237881532743624,5.765195120865827,6.356547323513812
4697,6.074417253278233,5.698530888100408,6.075720713938118
1630,6.1095175469440965,6.397126985098511,6.275724130399211
4354,6.088851532433302,5.667003726760466,5.0
472,3.8790621157149827,3.9400732232526203,4.204119982655925
4567,5.7584545153124544,5.018546195104057,5.292429823902063
763,4.202060971088677,4.434515146761159,4.327902142064283
3055,3.453349764624513,3.9558853077040577,3.0315170514460648
2575,5.421437416517525,5.676898373793395,5.710001024518514
5866,8.049095381212124,7.794453403186636,8.595166283380062
565,3.585925019953093,3.3677534978885415,3.3569999954922864
2456,6.827907528110208,6.8570507502446025,6.856985199745905
4760,5.974790989143364,5.999254712489922,7.512861624522813
2927,4.330767510272155,4.837546102891309,4.468521082957745
93,6.297720569231536,6.18708901630332,6.431798275933005
5811,4.322705708646669,4.79650864363262,4.884056823060945
5349,4.514335604797573,3.6476416928983255,3.995678626217357
2515,6.006568800544807,5.699766397420121,5.396855627379818
5277,6.167430414452972,6.096236204898372,6.769551078621726
1921,7.457678048101172,8.406405574823873,6.939302159646388
3213,8.259444725189216,7.815377595146781,8.034328028779893
4526,6.549459009280088,7.699428444969471,7.42021640338319
3475,5.2349277485175545,5.279862004914613,4.543633966870957
5160,5.316909791222949,5.013170060590093,4.804100347590766
4774,12.052674473295808,10.215081459642015,14.30102999566398
1022,7.733727346478863,7.733468656734151,8.157390760389438
5532,4.3612592225111015,4.660554516020997,4.0
5796,8.361728410639238,7.953380704023656,9.387216143280265
2135,5.742195070111295,6.110804240030804,6.522878745280337
5770,7.379537251358124,6.775400503613663,7.088309841246139
1374,6.1019965136710885,4.548342795431148,3.5734887386354246
5333,4.849423315708388,4.7942400468190165,4.672028376376989
5028,4.999805659435989,5.243785444616787,4.846490010699163
3268,6.41769422460991,6.92500842811146,7.619788758288394
4291,4.172414411783819,3.8812305090354924,4.0
5150,5.362150194997524,4.7352457668738435,4.565431095965801
185,6.779678427073224,7.250785176997051,6.636388020107856
5339,4.782302862809674,4.888857129675596,4.995248844408999
3941,5.114177922602909,4.999731566143612,5.0655015487564325
3123,4.550481260761424,4.712292670497047,4.530472520812986
5579,5.795693746050962,5.7611792208612895,6.769551078621726
3307,6.3486633331694895,6.463787836282757,5.47755576649368
3571,6.957306924860376,6.783379950875301,7.61261017366127
2370,5.746210500493753,8.233204735909059,6.560667306169737
221,5.003119371693765,4.899510061181327,5.0
1652,5.858723977964196,5.55169457659709,6.698970004336019
5638,5.139235523337836,4.6130923850913765,4.87484417041947
65,4.321737400574581,4.331055052905033,3.4814860601221125
4248,5.979666098166873,5.879683196516584,5.0
157,6.994485719682916,6.880361951075191,6.267606240177032
5673,6.552292526181604,5.8290771403130694,6.381951903287908
1038,9.014717603654658,8.94812399806587,9.537602002101044
2518,5.250257348345387,5.970252089258809,6.431798275933005
3074,6.121419277344787,5.765494414156213,6.174002988352055
5566,4.246586197948405,4.625032205082684,4.301029995663981
5086,5.427227785656098,5.51006774778742,5.0
4823,6.274461531771111,5.453244023597954,7.0
1487,8.181151846925493,8.572543480363171,8.812479279163536
3992,5.225677474768472,5.60193838177486,5.275724130399211
5957,5.192575562770961,5.352851956853188,4.3979400086720375
535,5.894598909491223,6.056668040296306,5.659159450187668
1566,7.605513517018466,7.455811746893204,7.508638306165727
1328,4.189939101467842,4.445923645193726,4.301029995663981
31,5.976156919674612,5.437890481750472,4.0
